"ID","CITED","CITING"
1,108962,310653
2,108963,108962
21,108963,1095507
22,108974,108962
23,108974,108963
24,108974,1125469
47,108974,1133417
48,108974,66794
49,108983,108962
50,108983,159897
51,108983,310653
52,108983,683404
53,109323,137849
54,110041,1152358
91,110041,287787
92,110162,110163
93,110162,110164
94,110163,110162
95,110163,110164
96,111676,89308
97,111770,1119623
98,111866,249858
99,112099,1114777
100,112378,1121459
101,112378,1131728
102,112378,141868
103,112378,145215
104,112378,654177
105,112787,1120444
106,114189,88356
203,114308,63835
204,114966,1125258
205,115188,1107728
206,116021,12960
207,116081,116087
208,116081,277263
209,116084,116087
210,116084,195150
211,116084,568045
212,116084,75972
213,116512,1107808
214,116528,1110438
215,116528,25772
216,116528,3237
217,116545,1128291
218,116545,1128319
219,116545,116553
220,116545,246618
221,116545,578645
222,116545,578649
223,116552,116553
224,116552,246618
225,116553,246618
226,116790,345340
227,117315,28336
228,117316,117315
229,117328,1115166
230,117328,38829
231,117328,91852
232,117328,95188
233,118259,118260
234,118259,230300
235,118260,230300
236,118424,118436
237,118435,118436
238,118559,1108209
239,118559,1121739
240,118873,1109566
241,118873,1115959
242,118873,987188
243,119686,198443
244,119686,987188
245,119712,1114118
246,119761,143801
247,119761,284025
248,120084,1140543
249,120817,1109873
250,120817,1140543
251,121792,1152394
252,123556,141160
253,123556,14807
254,123556,50354
255,123825,1131464
256,123825,1131634
257,123825,1154276
258,123825,23448
259,123825,42847
260,123825,447250
261,123825,649730
262,123825,649739
263,124064,6163
264,124064,6220
265,124064,6224
266,124224,169279
267,124224,6898
268,124296,51834
269,124734,1108167
270,124734,25805
403,124828,1108169
404,124952,1119742
405,124952,1123756
406,124952,1126011
407,124952,1126012
408,124952,189721
409,126793,1131270
410,126793,16843
411,126867,1108258
412,126868,1108258
413,126868,126867
414,126909,103543
415,126912,103543
416,126912,66990
417,126920,103543
418,126920,126927
419,126920,645897
420,126926,103543
421,126926,126909
422,126927,103543
423,126927,126920
424,126927,644093
425,126927,645897
426,126927,646286
427,127033,1108267
428,127033,416455
429,127033,574710
430,127940,1114364
431,127940,243274
432,128203,128202
433,128383,1108329
434,128540,387795
435,129042,1108363
436,129042,1121313
437,129042,129045
438,129045,1108363
439,129045,1121313
440,129287,907845
441,131042,40125
442,131117,152219
443,131117,212930
444,131122,212930
445,131315,411005
446,131317,411005
447,131318,411005
448,132806,45599
449,132806,48766
450,132806,593260
451,132821,695284
452,133550,1109891
453,133550,133566
454,133550,140569
455,133553,105856
456,133553,1120049
457,133563,105856
458,133563,1120049
459,133563,133566
460,133566,1152714
461,133567,1152714
462,133567,133566
463,133615,1128531
464,133615,1153866
465,133615,55403
466,133628,1108570
467,134060,481073
468,134128,1113182
469,134128,1113614
470,134128,1117760
471,134199,1114331
472,134199,164885
473,134199,447224
474,134219,1112075
475,134219,447224
476,134219,503893
477,134219,81714
478,134307,134316
479,134314,1116044
480,134314,134316
481,134315,23069
482,134316,1117920
483,134316,142268
484,134320,23069
485,135130,1105221
486,135130,416455
487,135130,574710
488,135464,1133004
489,135464,1135589
490,135464,120084
491,135464,237489
492,135464,8581
493,135765,6917
494,135766,135765
495,135766,449841
496,135766,6917
497,135798,1108656
498,136665,23258
499,136766,348437
500,136767,136766
501,136767,348437
502,136768,136766
895,137130,23070
896,137130,65074
897,137359,1108728
898,137359,1118286
899,137359,1153101
900,137359,1153150
901,137380,1108728
902,137380,37541
903,137380,85449
904,137790,10186
905,137790,1113852
906,137790,128203
907,137790,2354
908,137790,74749
909,137849,1115291
910,137849,17242
911,137868,1110000
912,137868,1131277
913,137868,1131300
914,137868,1154068
915,137868,642827
916,137868,91581
917,137956,13024
918,139738,1108834
919,139865,1108841
920,139865,1110563
921,140005,86840
922,141160,1109891
923,141160,1131345
924,141160,133553
925,141160,917493
926,141171,1121569
927,141324,1113438
928,141324,503877
929,141342,1119708
930,141342,35061
931,141342,40
932,141342,575292
933,141342,608191
934,141342,70970
935,141342,78511
936,141347,1119708
937,141596,40125
938,141868,429805
939,142268,1110209
940,142268,1117920
941,142268,134316
942,143323,1130539
943,143323,154134
944,143323,217139
945,143323,3084
946,143323,84021
947,143476,1112686
948,143676,102938
949,143801,284025
950,144212,1131549
951,144330,63486
952,144408,219446
953,144408,3229
954,144679,1114239
955,144701,1112911
956,144701,1128975
957,144701,1128997
958,144701,1136342
959,144701,22229
960,144701,595063
961,145134,129287
962,145134,641976
963,145176,1112723
964,145176,1132418
965,145176,40124
966,145215,141868
967,145215,429805
968,145215,654177
969,145315,294126
970,145315,649944
971,145384,1153287
972,145384,7430
973,145384,95589
974,147870,1109185
975,147870,1132434
976,147870,636500
977,148170,1109199
978,148170,1128997
979,148341,1109208
980,148341,1131116
981,149139,1123215
982,149669,589923
983,151430,1115670
984,151708,1120786
985,152226,1102400
986,152227,1139928
987,152227,152226
988,152227,987197
989,152483,583318
990,152483,593091
991,152731,1109392
992,152731,23507
993,153063,1131223
994,153063,440815
995,153063,561568
996,153063,561581
997,153063,561593
998,153063,561595
999,153063,561610
1000,153063,561613
1001,153063,645084
1002,153598,1113459
1003,154023,1112106
1004,154023,1133846
1005,154023,154047
1006,154047,1112106
1007,154047,1133846
1008,154047,154023
1009,154982,1121867
1010,154982,1130927
1011,154982,1130931
1012,154982,1130934
1013,154982,1133028
1014,154982,129897
1015,155158,397590
1016,155158,8687
1017,155736,155738
1018,155738,155736
1019,155738,157761
1020,156794,1109581
1021,156977,1152490
1022,156977,1153861
1023,156977,390889
1024,156977,395547
1025,157401,1118017
1026,157761,219239
1027,157805,6539
1028,158172,445938
1029,158614,10169
1030,158812,1127812
1031,159084,1152711
1032,159084,159085
1033,159084,241821
1034,159085,1152711
1035,159085,241821
1036,159897,310653
1037,159897,683355
1038,160732,1128853
1039,160732,75969
1040,161221,1153922
1041,162075,1109830
1042,162075,162080
1043,162075,737204
1044,162080,1109830
1045,162080,1135345
1046,162080,162075
1047,162080,739707
1048,162664,118682
1049,162664,39165
1050,162664,510718
1051,162664,531348
1052,162664,531351
1053,163235,1109873
1054,164885,447224
1055,166420,1119751
1056,166825,1110024
1057,166825,1118388
1058,166989,1110028
1059,166989,1121063
1060,166989,25805
1061,167670,1123068
1062,168332,86359
1063,169279,1132083
1064,169279,1154103
1065,169280,1132083
1066,169280,1154103
1067,170798,656231
1068,171954,1110256
1069,171954,1135750
1070,171954,1138755
1071,171954,820662
1072,173863,116790
1073,174418,307336
1074,174418,636511
1075,174425,174418
1076,174425,636511
1077,175256,1120643
1078,175256,1133196
1079,175256,682815
1080,175291,52784
1081,175548,105856
